Time,ChannelA,ChannelB,ChannelD
(s),(V),(mV),(V)
,,,
0.00180096,1.614173,94.48818,3.385827
0.00180696,1.614173,90.55118,3.346457
0.00181297,1.614173,86.61417,3.385827
0.00181897,1.614173,90.55118,3.385827
0.00182497,1.614173,86.61417,3.385827
0.00183098,1.614173,90.55118,3.425197
0.00183698,1.614173,90.55118,3.385827
0.00184298,1.653543,90.55118,3.425197
0.00184899,1.614173,94.48818,3.385827
0.00185499,1.614173,86.61417,3.425197
0.00186099,1.574803,90.55118,3.385827
0.001867,1.614173,82.67715,3.385827
0.001873,1.614173,86.61417,3.385827
0.001879,1.614173,90.55118,3.385827
0.001885,1.614173,90.55118,3.385827
0.00189101,1.574803,90.55118,3.385827
0.00189701,1.574803,94.48818,3.385827
0.00190301,1.614173,90.55118,3.385827
0.00190902,1.614173,90.55118,3.346457
0.00191502,1.574803,90.55118,3.385827
0.00192102,1.574803,90.55118,3.385827
0.00192703,1.614173,82.67715,3.385827
0.00193303,1.614173,94.48818,3.385827
0.00193903,1.614173,86.61417,3.425197
0.00194504,1.614173,94.48818,3.385827
0.00195104,1.614173,90.55118,3.385827
0.00195704,1.614173,90.55118,3.385827
0.00196305,1.614173,90.55118,3.385827
0.00196905,1.574803,86.61417,3.385827
0.00197505,1.614173,90.55118,3.425197
0.00198106,1.653543,86.61417,3.385827
0.00198706,1.614173,86.61417,3.385827
0.00199306,1.535433,94.48818,3.346457
0.00199907,1.574803,86.61417,3.385827
0.00200507,1.653543,90.55118,3.307086
0.00201107,1.653543,94.48818,3.346457
0.00201708,1.614173,90.55118,3.385827
0.00202308,1.535433,94.48818,3.425197
0.00202908,1.614173,86.61417,3.385827
0.00203508,1.653543,90.55118,3.346457
0.00204109,1.614173,90.55118,3.385827
0.00204709,1.574803,98.42519,3.425197
0.00205309,1.574803,94.48818,3.385827
0.0020591,1.614173,90.55118,3.346457
0.0020651,1.614173,98.42519,3.346457
0.0020711,1.614173,82.67715,3.385827
0.00207711,1.574803,86.61417,3.385827
0.00208311,1.614173,86.61417,3.346457
0.00208911,1.653543,86.61417,3.346457
0.00209512,1.614173,90.55118,3.346457
0.00210112,1.574803,90.55118,3.385827
0.00210712,1.574803,94.48818,3.385827
0.00211313,1.653543,90.55118,3.425197
0.00211913,1.614173,90.55118,3.385827
0.00212513,1.614173,90.55118,3.425197
0.00213114,1.614173,86.61417,3.385827
0.00213714,1.574803,90.55118,3.385827
0.00214314,1.614173,86.61417,3.425197
0.00214915,1.653543,94.48818,3.385827
0.00215515,1.574803,86.61417,3.425197
0.00216115,1.535433,86.61417,3.385827
0.00216716,1.574803,94.48818,3.385827
0.00217316,1.614173,94.48818,3.425197
0.00217916,1.574803,86.61417,3.385827
0.00218516,1.614173,90.55118,3.385827
0.00219117,1.574803,98.42519,3.385827
0.00219717,1.614173,90.55118,3.425197
0.00220317,1.614173,86.61417,3.385827
0.00220918,1.614173,90.55118,3.385827
0.00221518,1.574803,86.61417,3.385827
0.00222118,1.614173,90.55118,3.425197
0.00222719,1.614173,90.55118,3.385827
0.00223319,1.614173,90.55118,3.346457
0.00223919,1.614173,90.55118,3.385827
0.0022452,1.574803,90.55118,3.385827
0.0022512,1.614173,82.67715,3.385827
0.0022572,1.614173,90.55118,3.346457
0.00226321,1.653543,86.61417,3.346457
0.00226921,1.574803,94.48818,3.425197
0.00227521,1.614173,94.48818,3.425197
0.00228122,1.653543,90.55118,3.385827
0.00228722,1.574803,90.55118,3.346457
0.00229322,1.653543,90.55118,3.346457
0.00229923,1.614173,86.61417,3.385827
0.00230523,1.574803,90.55118,3.385827
0.00231123,1.653543,94.48818,3.385827
0.00231724,1.653543,90.55118,3.385827
0.00232324,1.614173,90.55118,3.425197
0.00232924,1.574803,86.61417,3.346457
0.00233524,1.574803,94.48818,3.346457
0.00234125,1.614173,90.55118,3.425197
0.00234725,1.653543,90.55118,3.385827
0.00235325,1.574803,90.55118,3.385827
0.00235926,1.535433,86.61417,3.385827
0.00236526,1.574803,90.55118,3.425197
0.00237126,1.692913,82.67715,3.385827
0.00237727,1.614173,90.55118,3.385827
0.00238327,1.574803,90.55118,3.385827
0.00238927,1.614173,90.55118,3.425197
0.00239528,1.653543,90.55118,3.346457
0.00240128,1.614173,90.55118,3.425197
0.00240728,1.614173,94.48818,3.385827
0.00241329,1.574803,90.55118,3.425197
0.00241929,1.574803,86.61417,3.385827
0.00242529,1.653543,90.55118,3.346457
0.0024313,1.614173,86.61417,3.385827
0.0024373,1.535433,86.61417,3.385827
0.0024433,1.574803,94.48818,3.425197
0.00244931,1.653543,82.67715,3.346457
0.00245531,1.653543,86.61417,3.385827
0.00246131,1.574803,86.61417,3.425197
0.00246732,1.574803,86.61417,3.385827
0.00247332,1.614173,90.55118,3.346457
0.00247932,1.614173,90.55118,3.385827
0.00248532,1.614173,98.42519,3.425197
0.00249133,1.574803,90.55118,3.385827
0.00249733,1.614173,90.55118,3.385827
0.00250333,1.653543,90.55118,3.385827
0.00250934,1.614173,90.55118,3.385827
0.00251534,1.574803,90.55118,3.385827
0.00252134,1.574803,94.48818,3.385827
0.00252735,1.574803,94.48818,3.385827
0.00253335,1.614173,90.55118,3.385827
0.00253935,1.614173,86.61417,3.385827
0.00254536,1.614173,90.55118,3.385827
0.00255136,1.574803,90.55118,3.346457
0.00255736,1.614173,86.61417,3.385827
0.00256337,1.614173,90.55118,3.385827
0.00256937,1.614173,86.61417,3.346457
0.00257537,1.574803,86.61417,3.385827
0.00258138,1.614173,90.55118,3.385827
0.00258738,1.614173,90.55118,3.425197
0.00259338,1.614173,86.61417,3.346457
0.00259939,1.574803,94.48818,3.346457
0.00260539,1.614173,86.61417,3.385827
0.00261139,1.574803,94.48818,3.346457
0.0026174,1.653543,90.55118,3.385827
0.0026234,1.614173,90.55118,3.385827
0.0026294,1.614173,94.48818,3.385827
0.0026354,1.574803,90.55118,3.346457
0.00264141,1.614173,90.55118,3.425197
0.00264741,1.574803,86.61417,3.385827
0.00265341,1.574803,90.55118,3.385827
0.00265942,1.574803,94.48818,3.385827
0.00266542,1.574803,94.48818,3.385827
0.00267142,1.574803,94.48818,3.346457
0.00267743,1.574803,90.55118,3.385827
0.00268343,1.614173,94.48818,3.425197
0.00268943,1.614173,94.48818,3.385827
0.00269544,1.614173,94.48818,3.385827
0.00270144,1.653543,90.55118,3.385827
0.00270744,1.614173,94.48818,3.425197
0.00271345,1.574803,90.55118,3.385827
0.00271945,1.614173,90.55118,3.385827
0.00272545,1.614173,90.55118,3.385827
0.00273146,1.653543,86.61417,3.385827
0.00273746,1.614173,94.48818,3.346457
0.00274346,1.535433,86.61417,3.385827
0.00274947,1.614173,86.61417,3.425197
0.00275547,1.614173,86.61417,3.385827
0.00276147,1.574803,86.61417,3.385827
0.00276748,1.574803,90.55118,3.464567
0.00277348,1.574803,94.48818,3.385827
0.00277948,1.653543,90.55118,3.385827
0.00278548,1.653543,94.48818,3.385827
0.00279149,1.614173,94.48818,3.425197
0.00279749,1.574803,86.61417,3.425197
0.00280349,1.574803,86.61417,3.346457
0.0028095,1.653543,90.55118,3.385827
0.0028155,1.653543,94.48818,3.346457
0.0028215,1.574803,86.61417,3.385827
0.00282751,1.574803,90.55118,3.385827
0.00283351,1.614173,94.48818,3.385827
0.00283951,1.653543,86.61417,3.346457
0.00284552,1.614173,94.48818,3.385827
0.00285152,1.614173,90.55118,3.425197
0.00285752,1.614173,90.55118,3.385827
0.00286353,1.653543,86.61417,3.425197
0.00286953,1.653543,90.55118,3.385827
0.00287553,1.614173,94.48818,3.425197
0.00288154,1.614173,86.61417,3.385827
0.00288754,1.614173,86.61417,3.385827
0.00289354,1.653543,90.55118,3.346457
0.00289955,1.574803,90.55118,3.346457
0.00290555,1.574803,86.61417,3.385827
0.00291155,1.614173,94.48818,3.385827
0.00291756,1.653543,90.55118,3.385827
0.00292356,1.614173,94.48818,3.385827
0.00292956,1.614173,86.61417,3.346457
0.00293556,1.574803,94.48818,3.425197
0.00294157,1.574803,90.55118,3.385827
0.00294757,1.574803,86.61417,3.385827
0.00295357,1.574803,86.61417,3.385827
0.00295958,1.574803,82.67715,3.346457
0.00296558,1.574803,90.55118,3.346457
0.00297158,1.574803,90.55118,3.385827
0.00297759,1.614173,90.55118,3.385827
0.00298359,1.614173,94.48818,3.346457
0.00298959,1.614173,86.61417,3.425197
0.0029956,1.574803,90.55118,3.385827
0.0030016,1.614173,86.61417,3.425197
0.0030076,1.614173,90.55118,3.385827
0.00301361,1.614173,94.48818,3.385827
0.00301961,1.614173,86.61417,3.385827
0.00302561,1.614173,94.48818,3.425197
0.00303162,1.614173,86.61417,3.385827
0.00303762,1.614173,94.48818,3.385827
0.00304362,1.614173,90.55118,3.346457
0.00304963,1.574803,94.48818,3.385827
0.00305563,1.574803,90.55118,3.385827
0.00306163,1.653543,90.55118,3.425197
0.00306764,1.614173,86.61417,3.385827
0.00307364,1.614173,94.48818,3.385827
0.00307964,1.535433,94.48818,3.385827
0.00308564,1.535433,98.42519,3.385827
0.00309165,1.653543,90.55118,3.425197
0.00309765,1.614173,90.55118,3.385827
0.00310365,1.535433,86.61417,3.346457
0.00310966,1.574803,90.55118,3.346457
0.00311566,1.653543,94.48818,3.425197
0.00312166,1.653543,90.55118,3.385827
0.00312767,1.574803,90.55118,3.385827
0.00313367,1.535433,90.55118,3.425197
0.00313967,1.653543,86.61417,3.385827
0.00314568,1.653543,86.61417,3.385827
0.00315168,1.614173,90.55118,3.385827
0.00315768,1.574803,90.55118,3.425197
0.00316369,1.574803,90.55118,3.425197
0.00316969,1.653543,94.48818,3.385827
0.00317569,1.614173,90.55118,3.425197
0.0031817,1.574803,94.48818,3.385827
0.0031877,1.535433,94.48818,3.385827
0.0031937,1.614173,82.67715,3.385827
0.00319971,1.692913,94.48818,3.346457
0.00320571,1.614173,98.42519,3.385827
0.00321171,1.535433,90.55118,3.346457
0.00321772,1.614173,90.55118,3.385827
0.00322372,1.614173,90.55118,3.385827
0.00322972,1.614173,94.48818,3.385827
0.00323572,1.614173,86.61417,3.385827
0.00324173,1.574803,86.61417,3.425197
0.00324773,1.574803,94.48818,3.385827
0.00325373,1.574803,94.48818,3.385827
0.00325974,1.653543,94.48818,3.385827
0.00326574,1.614173,94.48818,3.385827
0.00327174,1.574803,98.42519,3.346457
0.00327775,1.614173,86.61417,3.385827
0.00328375,1.614173,90.55118,3.385827
0.00328975,1.614173,86.61417,3.385827
0.00329576,1.614173,90.55118,3.385827
0.00330176,1.614173,90.55118,3.385827
0.00330776,1.574803,94.48818,3.385827
0.00331377,1.614173,86.61417,3.385827
0.00331977,1.614173,86.61417,3.385827
0.00332577,1.653543,86.61417,3.425197
0.00333178,1.574803,94.48818,3.385827
0.00333778,1.614173,98.42519,3.385827
0.00334378,1.614173,94.48818,3.385827
0.00334979,1.574803,90.55118,3.385827
0.00335579,1.614173,86.61417,3.385827
0.00336179,1.574803,94.48818,3.346457
0.0033678,1.653543,90.55118,3.385827
0.0033738,1.574803,90.55118,3.385827
0.0033798,1.574803,90.55118,3.385827
0.0033858,1.614173,90.55118,3.385827
0.00339181,1.614173,90.55118,3.385827
0.00339781,1.614173,90.55118,3.385827
0.00340381,1.614173,90.55118,3.385827
0.00340982,1.614173,94.48818,3.385827
0.00341582,1.574803,94.48818,3.385827
0.00342182,1.614173,90.55118,3.385827
0.00342783,1.574803,86.61417,3.385827
0.00343383,1.614173,90.55118,3.385827
0.00343983,1.614173,94.48818,3.385827
0.00344584,1.574803,90.55118,3.385827
0.00345184,1.653543,94.48818,3.385827
0.00345784,1.614173,86.61417,3.385827
0.00346385,1.535433,82.67715,3.346457
0.00346985,1.614173,90.55118,3.385827
